Item,Period,Period_Start,Demand
FG-OAT-72,27,2026-06-29,611
FG-OAT-72,28,2026-07-06,669
FG-OAT-72,29,2026-07-13,640
FG-OAT-72,30,2026-07-20,614
FG-OAT-72,31,2026-07-27,670
FG-OAT-72,32,2026-08-03,530
FG-OAT-72,33,2026-08-10,557
FG-OAT-72,34,2026-08-17,541
FG-OAT-72,35,2026-08-24,567
FG-OAT-72,36,2026-08-31,514
FG-KET-500,1,2025-12-29,794
FG-KET-500,2,2026-01-05,846
FG-KET-500,3,2026-01-12,1225
FG-KET-500,4,2026-01-19,882
FG-KET-500,5,2026-01-26,1039
FG-KET-500,6,2026-02-02,920
FG-KET-500,7,2026-02-09,879
FG-KET-500,8,2026-02-16,1170
FG-KET-500,9,2026-02-23,682
FG-KET-500,10,2026-03-02,837
FG-KET-500,11,2026-03-09,893
FG-KET-500,12,2026-03-16,1130
FG-KET-500,13,2026-03-23,917
FG-KET-500,14,2026-03-30,1028
FG-KET-500,15,2026-04-06,835
FG-KET-500,16,2026-04-13,746
FG-KET-500,17,2026-04-20,1180
FG-KET-500,18,2026-04-27,806
FG-KET-500,19,2026-05-04,1177
FG-KET-500,20,2026-05-11,793
FG-KET-500,21,2026-05-18,1009
FG-KET-500,22,2026-05-25,783
FG-KET-500,23,2026-06-01,1021
FG-KET-500,24,2026-06-08,950
FG-KET-500,25,2026-06-15,880
FG-KET-500,26,2026-06-22,895
FG-KET-500,27,2026-06-29,1220
FG-KET-500,28,2026-07-06,958
FG-KET-500,29,2026-07-13,841
FG-KET-500,30,2026-07-20,741
FG-KET-500,31,2026-07-27,734
FG-KET-500,32,2026-08-03,1327
FG-KET-500,33,2026-08-10,1105
FG-KET-500,34,2026-08-17,1326
FG-KET-500,35,2026-08-24,885
FG-KET-500,36,2026-08-31,937
