Part_Code,Fiscal_Week,Week_Commencing,Dispatched_Units
EV-CARGO-3W,217,2026-04-27,135
SP-BATT-KIT,217,2026-04-27,277
EV-CITY-2W,218,2026-05-04,1006
EV-PRO-2W,218,2026-05-04,620
EV-CARGO-3W,218,2026-05-04,0
SP-BATT-KIT,218,2026-05-04,236
EV-CITY-2W,219,2026-05-11,1001
EV-PRO-2W,219,2026-05-11,737
EV-CARGO-3W,219,2026-05-11,109
SP-BATT-KIT,219,2026-05-11,259
EV-CITY-2W,220,2026-05-18,988
EV-PRO-2W,220,2026-05-18,622
EV-CARGO-3W,220,2026-05-18,0
SP-BATT-KIT,220,2026-05-18,274
EV-CITY-2W,221,2026-05-25,999
EV-PRO-2W,221,2026-05-25,592
EV-CARGO-3W,221,2026-05-25,0
SP-BATT-KIT,221,2026-05-25,262
EV-CITY-2W,222,2026-06-01,1067
EV-PRO-2W,222,2026-06-01,561
EV-CARGO-3W,222,2026-06-01,0
SP-BATT-KIT,222,2026-06-01,223
EV-CITY-2W,223,2026-06-08,901
EV-PRO-2W,223,2026-06-08,488
EV-CARGO-3W,223,2026-06-08,46
SP-BATT-KIT,223,2026-06-08,289
EV-CITY-2W,224,2026-06-15,1066
EV-PRO-2W,224,2026-06-15,484
EV-CARGO-3W,224,2026-06-15,140
SP-BATT-KIT,224,2026-06-15,179
EV-CITY-2W,225,2026-06-22,1112
EV-PRO-2W,225,2026-06-22,513
EV-CARGO-3W,225,2026-06-22,128
SP-BATT-KIT,225,2026-06-22,205
EV-CITY-2W,226,2026-06-29,1004
EV-PRO-2W,226,2026-06-29,527
EV-CARGO-3W,226,2026-06-29,109
SP-BATT-KIT,226,2026-06-29,191
EV-CITY-2W,227,2026-07-06,1032
EV-PRO-2W,227,2026-07-06,583
EV-CARGO-3W,227,2026-07-06,106
SP-BATT-KIT,227,2026-07-06,235
EV-CITY-2W,228,2026-07-13,1048
EV-PRO-2W,228,2026-07-13,556
EV-CARGO-3W,228,2026-07-13,77
SP-BATT-KIT,228,2026-07-13,213
EV-CITY-2W,229,2026-07-20,1015
EV-PRO-2W,229,2026-07-20,542
EV-CARGO-3W,229,2026-07-20,103
SP-BATT-KIT,229,2026-07-20,315
EV-CITY-2W,230,2026-07-27,1048
EV-PRO-2W,230,2026-07-27,549
EV-CARGO-3W,230,2026-07-27,0
SP-BATT-KIT,230,2026-07-27,284
EV-CITY-2W,231,2026-08-03,1070
EV-PRO-2W,231,2026-08-03,520
EV-CARGO-3W,231,2026-08-03,112
SP-BATT-KIT,231,2026-08-03,243
EV-CITY-2W,232,2026-08-10,1002
EV-PRO-2W,232,2026-08-10,549
EV-CARGO-3W,232,2026-08-10,0
SP-BATT-KIT,232,2026-08-10,263
EV-CITY-2W,233,2026-08-17,1053
EV-PRO-2W,233,2026-08-17,431
EV-CARGO-3W,233,2026-08-17,122
SP-BATT-KIT,233,2026-08-17,243
EV-CITY-2W,234,2026-08-24,1153
EV-PRO-2W,234,2026-08-24,413
EV-CARGO-3W,234,2026-08-24,0
SP-BATT-KIT,234,2026-08-24,224
EV-CITY-2W,235,2026-08-31,1146
EV-PRO-2W,235,2026-08-31,368
EV-CARGO-3W,235,2026-08-31,158
SP-BATT-KIT,235,2026-08-31,286
EV-CITY-2W,236,2026-09-07,1150
EV-PRO-2W,236,2026-09-07,278
EV-CARGO-3W,236,2026-09-07,0
SP-BATT-KIT,236,2026-09-07,193
